:START_ID,:END_ID,type
3,9309,REL
11,5692,REL
19,6756,REL
27,8492,REL
35,4814,REL
43,3135,REL
51,1211,REL
59,7748,REL
67,9719,REL
75,6870,REL
83,2507,REL
91,7288,REL
99,5195,REL
107,8998,REL
115,88,REL
123,8895,REL
131,8181,REL
139,515,REL
147,7646,REL
155,3051,REL
163,2069,REL
171,3738,REL
179,1038,REL
187,1042,REL
195,1879,REL
203,4277,REL
211,1465,REL
219,3018,REL
227,2323,REL
235,8021,REL
243,4807,REL
251,4533,REL
259,4514,REL
267,9114,REL
275,5035,REL
283,9631,REL
291,8236,REL
299,8362,REL
307,2203,REL
315,5046,REL
323,479,REL
331,2644,REL
339,1663,REL
347,5192,REL
355,6431,REL
363,5450,REL
371,612,REL
379,3871,REL
387,3764,REL
395,800,REL
403,2500,REL
411,3748,REL
419,3444,REL
427,6093,REL
435,4453,REL
443,3251,REL
451,4817,REL
459,1468,REL
467,9170,REL
475,4519,REL
483,6394,REL
491,8991,REL
499,5378,REL
507,3446,REL
515,1749,REL
523,4357,REL
531,8843,REL
539,1079,REL
547,3342,REL
555,3865,REL
563,2401,REL
571,4671,REL
579,4712,REL
587,2384,REL
595,1467,REL
603,9341,REL
611,7366,REL
619,2423,REL
627,9967,REL
635,8082,REL
643,6393,REL
651,3773,REL
659,4431,REL
667,4737,REL
675,9428,REL
683,889,REL
691,6170,REL
699,8509,REL
707,5631,REL
715,7593,REL
723,3705,REL
731,5941,REL
739,4075,REL
747,9314,REL
755,9628,REL
763,7972,REL
771,4896,REL
779,6066,REL
787,546,REL
795,5196,REL
803,3193,REL
811,2126,REL
819,4944,REL
827,3400,REL
835,9146,REL
843,1967,REL
851,4274,REL
859,6384,REL
867,6334,REL
875,2478,REL
883,6344,REL
891,5608,REL
899,4292,REL
907,8787,REL
915,3568,REL
923,621,REL
931,1411,REL
939,4100,REL
947,5450,REL
955,6207,REL
963,157,REL
971,5077,REL
979,9344,REL
987,4139,REL
995,9981,REL
1003,115,REL
1011,3874,REL
1019,5692,REL
1027,1838,REL
1035,7664,REL
1043,4386,REL
1051,6888,REL
1059,4973,REL
1067,3911,REL
1075,6053,REL
1083,1536,REL
1091,8459,REL
1099,1846,REL
1107,4370,REL
1115,786,REL
1123,2074,REL
1131,6382,REL
1139,9952,REL
1147,9834,REL
1155,5139,REL
1163,2804,REL
1171,6053,REL
1179,1708,REL
1187,7020,REL
1195,5706,REL
1203,2568,REL
1211,3447,REL
1219,683,REL
1227,7495,REL
1235,2841,REL
1243,7415,REL
1251,52,REL
1259,7922,REL
1267,5339,REL
1275,9994,REL
1283,9107,REL
1291,3442,REL
1299,1000,REL
1307,636,REL
1315,7309,REL
1323,9606,REL
1331,6337,REL
1339,3583,REL
1347,228,REL
1355,9119,REL
1363,3038,REL
1371,9079,REL
1379,3908,REL
1387,146,REL
1395,5242,REL
1403,5056,REL
1411,4619,REL
1419,5930,REL
1427,3633,REL
1435,5540,REL
1443,830,REL
1451,1757,REL
1459,5258,REL
1467,2269,REL
1475,9885,REL
1483,9756,REL
1491,3225,REL
1499,7800,REL
1507,5776,REL
1515,3620,REL
1523,4982,REL
1531,5971,REL
1539,2585,REL
1547,6208,REL
1555,585,REL
1563,9295,REL
1571,9271,REL
1579,4894,REL
1587,9343,REL
1595,6107,REL
1603,326,REL
1611,5990,REL
1619,3561,REL
1627,1684,REL
1635,2900,REL
1643,7734,REL
1651,8618,REL
1659,276,REL
1667,9666,REL
1675,8433,REL
1683,7583,REL
1691,236,REL
1699,6279,REL
1707,9277,REL
1715,5014,REL
1723,2656,REL
1731,7322,REL
1739,4507,REL
1747,1505,REL
1755,7291,REL
1763,2009,REL
1771,5093,REL
1779,8973,REL
1787,6525,REL
1795,4933,REL
1803,3550,REL
1811,4683,REL
1819,1214,REL
1827,4309,REL
1835,3793,REL
1843,2285,REL
1851,6588,REL
1859,3671,REL
1867,5993,REL
1875,7216,REL
1883,2800,REL
1891,2758,REL
1899,7741,REL
1907,866,REL
1915,1192,REL
1923,8912,REL
1931,2730,REL
1939,8177,REL
1947,552,REL
1955,7046,REL
1963,3186,REL
1971,2461,REL
1979,7491,REL
1987,2102,REL
1995,8756,REL
2003,9456,REL
2011,7548,REL
2019,6544,REL
2027,1472,REL
2035,8554,REL
2043,4702,REL
2051,1255,REL
2059,3445,REL
2067,6924,REL
2075,3139,REL
2083,1539,REL
2091,9676,REL
2099,2227,REL
2107,3106,REL
2115,2458,REL
2123,4494,REL
2131,9427,REL
2139,7718,REL
2147,8943,REL
2155,5000,REL
2163,168,REL
2171,3500,REL
2179,2035,REL
2187,972,REL
2195,9140,REL
2203,27,REL
2211,4799,REL
2219,6966,REL
2227,9884,REL
2235,3802,REL
2243,4148,REL
2251,1551,REL
2259,610,REL
2267,5172,REL
2275,3523,REL
2283,5899,REL
