src,dst,type
0,8183,REL
1,4253,REL
2,2914,REL
3,9608,REL
4,5470,REL
5,354,REL
6,167,REL
7,2737,REL
8,7506,REL
9,8255,REL
10,4648,REL
11,4831,REL
12,7679,REL
13,7965,REL
14,8003,REL
15,1855,REL
16,7508,REL
17,6868,REL
18,5826,REL
19,3360,REL
20,9897,REL
21,1808,REL
22,2585,REL
23,3181,REL
24,8515,REL
25,8246,REL
26,2263,REL
27,8712,REL
28,9690,REL
29,2655,REL
30,2084,REL
31,1114,REL
32,9215,REL
33,8682,REL
34,8890,REL
35,1782,REL
36,7127,REL
37,2350,REL
38,8817,REL
39,9181,REL
40,595,REL
41,7663,REL
42,5598,REL
43,4755,REL
44,7639,REL
45,6110,REL
46,605,REL
47,6717,REL
48,5907,REL
49,2532,REL
50,8683,REL
51,4654,REL
52,9006,REL
53,5551,REL
54,9298,REL
55,8586,REL
56,3201,REL
57,8228,REL
58,7621,REL
59,2156,REL
60,378,REL
61,3036,REL
62,6034,REL
63,5841,REL
64,2251,REL
65,8134,REL
66,5393,REL
67,9914,REL
68,597,REL
69,2732,REL
70,1,REL
71,3084,REL
72,4834,REL
73,4143,REL
74,8884,REL
75,5309,REL
76,3339,REL
77,1857,REL
78,6504,REL
79,7306,REL
80,8860,REL
81,4457,REL
82,4177,REL
83,5629,REL
84,7259,REL
85,855,REL
86,8528,REL
87,9211,REL
88,7877,REL
89,9388,REL
90,3929,REL
91,2998,REL
92,9473,REL
93,5671,REL
94,81,REL
95,6512,REL
96,5619,REL
97,3983,REL
98,7113,REL
99,2358,REL
100,9936,REL
101,988,REL
102,7621,REL
103,4939,REL
104,8027,REL
105,950,REL
106,6575,REL
107,5054,REL
108,1490,REL
109,8527,REL
110,1121,REL
111,1195,REL
112,3029,REL
113,7284,REL
114,6902,REL
115,2273,REL
116,5302,REL
117,5449,REL
118,2054,REL
119,9539,REL
120,7925,REL
121,980,REL
122,9247,REL
123,7563,REL
124,967,REL
125,87,REL
126,4569,REL
127,3340,REL
128,5372,REL
129,7249,REL
130,2864,REL
131,4251,REL
132,295,REL
133,3847,REL
134,1621,REL
135,7520,REL
136,9515,REL
137,9769,REL
138,2171,REL
139,6388,REL
140,2270,REL
141,4189,REL
142,1522,REL
143,1835,REL
144,6301,REL
145,6003,REL
146,8314,REL
147,8014,REL
148,817,REL
149,9216,REL
150,5926,REL
151,1393,REL
152,9684,REL
153,5445,REL
154,2964,REL
155,7348,REL
156,4464,REL
157,7318,REL
158,9104,REL
159,6001,REL
160,8593,REL
161,910,REL
162,5565,REL
163,7615,REL
164,4951,REL
165,7861,REL
166,8929,REL
167,76,REL
168,3583,REL
169,87,REL
170,2204,REL
171,2710,REL
172,3518,REL
173,1327,REL
174,3504,REL
175,6474,REL
176,3813,REL
177,395,REL
178,1076,REL
179,3280,REL
180,5803,REL
181,4585,REL
182,3396,REL
183,9549,REL
184,3470,REL
185,3726,REL
186,1686,REL
187,8804,REL
188,9464,REL
189,2230,REL
190,6728,REL
191,3875,REL
192,773,REL
193,2485,REL
194,3939,REL
195,5877,REL
196,8752,REL
197,7370,REL
198,6350,REL
199,1053,REL
200,506,REL
201,922,REL
202,6887,REL
203,4573,REL
204,1791,REL
205,1954,REL
206,7996,REL
207,9444,REL
208,3457,REL
209,7320,REL
210,3360,REL
211,5372,REL
212,2396,REL
213,2372,REL
214,8478,REL
215,4312,REL
216,1594,REL
217,9631,REL
218,3213,REL
219,6311,REL
220,6685,REL
221,5911,REL
222,2263,REL
223,7408,REL
224,7943,REL
225,7774,REL
226,1181,REL
227,8643,REL
228,1861,REL
229,3091,REL
230,1396,REL
231,6187,REL
232,483,REL
233,6447,REL
234,6926,REL
235,9156,REL
236,7311,REL
237,2007,REL
238,7079,REL
239,9736,REL
240,8096,REL
241,4618,REL
242,6340,REL
243,6070,REL
244,638,REL
245,2903,REL
246,9905,REL
247,4171,REL
248,6023,REL
249,6732,REL
250,27,REL
251,2099,REL
252,8151,REL
253,2694,REL
254,2402,REL
255,9391,REL
256,9625,REL
257,1985,REL
258,9410,REL
259,2711,REL
260,8293,REL
261,6075,REL
262,7962,REL
263,8397,REL
264,9715,REL
265,1459,REL
266,6462,REL
267,8860,REL
268,7963,REL
269,8949,REL
270,7887,REL
271,9618,REL
272,3251,REL
273,4382,REL
274,9320,REL
275,9905,REL
276,4464,REL
277,7109,REL
278,2880,REL
279,8235,REL
280,2475,REL
281,2112,REL
282,6296,REL
283,1561,REL
284,4859,REL
285,5956,REL
286,3051,REL
287,2963,REL
288,5171,REL
289,8469,REL
290,4696,REL
291,6323,REL
292,1881,REL
293,7488,REL
294,8261,REL
295,6022,REL
296,7537,REL
297,4810,REL
298,8925,REL
299,4935,REL
300,4710,REL
301,4906,REL
302,2428,REL
303,2524,REL
304,8052,REL
305,2190,REL
306,247,REL
307,2067,REL
308,6192,REL
309,9694,REL
310,2207,REL
311,8183,REL
312,6268,REL
313,4000,REL
314,4312,REL
315,2581,REL
316,5708,REL
317,3854,REL
318,3820,REL
319,6883,REL
320,670,REL
321,778,REL
322,8534,REL
323,1246,REL
324,6605,REL
325,7574,REL
326,8812,REL
327,8013,REL
328,2667,REL
329,7613,REL
330,5068,REL
331,794,REL
332,2729,REL
333,8410,REL
334,6124,REL
335,2809,REL
336,749,REL
337,5488,REL
338,2561,REL
339,5056,REL
340,5464,REL
341,6940,REL
342,5225,REL
343,460,REL
344,5314,REL
345,6413,REL
346,8094,REL
347,175,REL
348,479,REL
349,1145,REL
350,239,REL
351,7933,REL
352,4172,REL
353,5568,REL
354,8879,REL
355,2438,REL
356,3641,REL
357,8912,REL
358,3291,REL
359,4613,REL
360,300,REL
361,6849,REL
362,1737,REL
363,9626,REL
364,7359,REL
365,2756,REL
366,3626,REL
367,251,REL
368,8584,REL
369,5738,REL
370,7331,REL
371,4884,REL
372,6826,REL
373,7059,REL
374,9201,REL
375,7747,REL
376,6807,REL
377,6234,REL
378,3972,REL
379,5347,REL
380,5865,REL
381,3086,REL
382,5458,REL
383,6412,REL
384,8327,REL
385,7391,REL
386,5770,REL
387,9048,REL
388,584,REL
389,8483,REL
390,521,REL
391,8326,REL
392,7503,REL
393,8604,REL
394,4845,REL
395,939,REL
396,4776,REL
397,6773,REL
398,5846,REL
399,446,REL
400,5594,REL
401,6249,REL
402,8293,REL
403,4322,REL
404,1441,REL
405,230,REL
406,1268,REL
407,4392,REL
408,5344,REL
409,7309,REL
410,3409,REL
411,5087,REL
412,9736,REL
413,8622,REL
414,1778,REL
415,5853,REL
416,1229,REL
417,1970,REL
418,889,REL
419,7616,REL
420,5282,REL
421,6347,REL
422,7963,REL
423,3297,REL
424,9327,REL
425,5319,REL
426,3848,REL
427,6888,REL
428,520,REL
429,5288,REL
430,4182,REL
431,6459,REL
432,4268,REL
433,3199,REL
434,3704,REL
435,5779,REL
436,704,REL
437,8168,REL
438,8472,REL
439,1166,REL
440,8747,REL
441,2708,REL
442,5515,REL
443,8171,REL
444,7591,REL
445,4972,REL
446,1586,REL
447,1036,REL
448,6474,REL
449,4949,REL
450,1723,REL
451,4540,REL
452,2283,REL
453,5349,REL
454,857,REL
455,6876,REL
456,4370,REL
457,3615,REL
458,899,REL
459,1308,REL
460,8881,REL
461,7883,REL
462,1897,REL
463,8737,REL
464,5409,REL
465,8651,REL
466,1935,REL
467,6521,REL
468,9705,REL
469,9765,REL
470,430,REL
471,190,REL
472,3709,REL
473,8205,REL
474,7077,REL
475,2225,REL
476,4854,REL
477,9530,REL
478,5276,REL
479,7789,REL
480,5899,REL
481,6942,REL
482,8324,REL
483,3661,REL
484,5714,REL
485,3076,REL
486,4873,REL
487,145,REL
488,9744,REL
489,9495,REL
490,7786,REL
491,8743,REL
492,8558,REL
493,7485,REL
494,9785,REL
495,5453,REL
496,1179,REL
497,8129,REL
498,6654,REL
499,5885,REL
500,8465,REL
501,3469,REL
502,367,REL
503,8623,REL
504,3666,REL
505,2839,REL
506,6751,REL
507,300,REL
508,3896,REL
509,9957,REL
510,7459,REL
511,1908,REL
512,9418,REL
513,531,REL
514,9888,REL
515,5243,REL
516,9465,REL
517,2079,REL
518,1322,REL
519,7992,REL
520,9271,REL
521,9357,REL
522,4738,REL
523,3504,REL
524,886,REL
525,2546,REL
526,7433,REL
527,8638,REL
528,6185,REL
529,7116,REL
530,8769,REL
531,4098,REL
532,4528,REL
533,3013,REL
534,935,REL
535,7366,REL
536,6644,REL
537,5419,REL
538,2255,REL
539,1249,REL
540,2571,REL
541,9862,REL
542,3011,REL
543,4900,REL
544,7368,REL
545,795,REL
546,7898,REL
547,7480,REL
548,5518,REL
549,9994,REL
550,8188,REL
551,6698,REL
552,8909,REL
553,7013,REL
554,4700,REL
555,4675,REL
556,5157,REL
557,7535,REL
558,773,REL
559,6385,REL
560,2443,REL
561,5603,REL
562,6166,REL
563,7426,REL
564,5997,REL
565,4879,REL
566,4924,REL
567,7881,REL
568,26,REL
569,8228,REL
570,5203,REL
571,1293,REL
572,7938,REL
573,1317,REL
574,553,REL
575,9129,REL
576,6658,REL
577,1644,REL
578,3185,REL
579,658,REL
580,7760,REL
581,9638,REL
582,8148,REL
583,5074,REL
584,3479,REL
585,2399,REL
586,895,REL
587,7086,REL
588,8576,REL
589,512,REL
590,8132,REL
591,3770,REL
592,6315,REL
593,7134,REL
594,8740,REL
595,2399,REL
596,1921,REL
597,3518,REL
598,3547,REL
599,8016,REL
600,7905,REL
601,2908,REL
602,6540,REL
603,3227,REL
604,675,REL
605,5419,REL
606,9105,REL
607,893,REL
608,1614,REL
609,8082,REL
610,9404,REL
611,1169,REL
